median_income,median_rent_monthly,median_home_value,B25070_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25091_001E,B25091_012E,B25091_013E,B25091_014E,B25091_015E,state,annual_rent,rent_burden_ratio,price_to_income_ratio,rent_burden_30plus_num,rent_burden_total,rent_burden_share,rent_burden_pct,owner_burden_30plus_num,owner_burden_total,owner_burden_share,owner_burden_pct
93421,1551,517700,349558,31842,21278,30549,73193,818033,1636,260943,153584,41487,UT,18612,0.19922715449417155,5.541580586805964,156862,349558,0.4487438422236081,44.87438422236081,457650,818033,0.5594517580586602,55.94517580586602
75780,1413,296900,4212276,380049,289362,399815,1028215,7048369,19605,3114370,1261881,620092,TX,16956,0.22375296912114015,3.9179202955925048,2097441,4212276,0.49793532047757555,49.79353204775755,5015948,7048369,0.7116466234954498,71.16466234954498
95521,1992,725800,6041358,548408,419166,572811,1677588,7658458,30002,2519333,1084999,436772,CA,23904,0.25024863642549805,7.598329163220653,3217973,6041358,0.5326572270671595,53.26572270671595,4071106,7658458,0.5315829896827795,53.15829896827795
82095,1561,420200,3587598,301250,199756,278852,960230,4221669,11923,1798047,642991,333471,NY,18732,0.22817467568061392,5.118460320360558,1740088,3587598,0.4850287016549792,48.50287016549792,2786432,4221669,0.6600309024700894,66.00309024700894
