median_income,median_rent_monthly,median_home_value,B25070_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25091_001E,B25091_012E,B25091_013E,B25091_014E,B25091_015E,state,annual_rent,rent_burden_ratio,price_to_income_ratio,rent_burden_30plus_num,rent_burden_total,rent_burden_share,rent_burden_pct,owner_burden_30plus_num,owner_burden_total,owner_burden_share,owner_burden_pct
96658,1593,545200,360409,36649,24720,30486,72721,824019,1887,263290,149935,43351,UT,19116,0.1977694551925345,5.64050570051108,164576,360409,0.456636765452583,45.663676545258305,458463,824019,0.5563743069031175,55.63743069031175
79721,1475,313200,4314892,385239,306862,404798,1028419,7134877,21357,3175928,1322209,632391,TX,17700,0.222024309780359,3.9287013459439795,2125318,4314892,0.49255415894534554,49.25541589453456,5151885,7134877,0.7220706117288357,72.20706117288357
100149,2104,759500,6095762,539010,418453,593892,1678750,7701876,29758,2608492,1098870,455064,CA,25248,0.2521043644968996,7.5837002865730065,3230105,6095762,0.5298935555554827,52.989355555548265,4192184,7701876,0.5443068675735626,54.43068675735626
85820,1634,449800,3575503,293743,198815,279389,963187,4252571,11837,1836251,655049,354231,NY,19608,0.22847821020741085,5.241202516895829,1735134,3575503,0.48528388872838313,48.52838887283831,2857368,4252571,0.6719154130524805,67.19154130524805
